Block Row,Block Column,Status
0,0,Same
0,1,Same
0,2,Same
0,3,Same
0,4,Restored
0,5,Restored
0,6,Restored
0,7,Restored
0,8,Restored
0,9,Restored
0,10,Restored
0,11,Restored
0,12,Restored
0,13,Restored
0,14,Restored
0,15,Restored
0,16,Restored
0,17,Restored
0,18,Restored
0,19,Restored
0,20,Restored
0,21,Restored
0,22,Restored
0,23,Restored
0,24,Restored
0,25,Restored
0,26,Restored
0,27,Restored
0,28,Restored
0,29,Restored
0,30,Restored
0,31,Restored
0,32,Restored
0,33,Same
0,34,Same
0,35,Same
0,36,Same
0,37,Same
0,38,Same
0,39,Same
0,40,Same
0,41,Same
0,42,Same
0,43,Same
0,44,Restored
0,45,Same
0,46,Same
0,47,Same
0,48,Same
0,49,Same
0,50,Same
0,51,Same
0,52,Restored
0,53,Restored
0,54,Outage
0,55,Outage
0,56,Restored
0,57,Restored
0,58,Restored
0,59,Restored
0,60,Restored
0,61,Restored
0,62,Restored
0,63,Restored
1,0,Same
1,1,Same
1,2,Same
1,3,Same
1,4,Same
1,5,Restored
1,6,Outage
1,7,Outage
1,8,Restored
1,9,Restored
1,10,Restored
1,11,Restored
1,12,Restored
1,13,Restored
1,14,Restored
1,15,Restored
1,16,Restored
1,17,Restored
1,18,Restored
1,19,Restored
1,20,Restored
1,21,Restored
1,22,Restored
1,23,Restored
1,24,Restored
1,25,Restored
1,26,Restored
1,27,Restored
1,28,Restored
1,29,Restored
1,30,Restored
1,31,Restored
1,32,Restored
1,33,Same
1,34,Same
1,35,Same
1,36,Same
1,37,Same
1,38,Same
1,39,Same
1,40,Same
1,41,Same
1,42,Same
1,43,Same
1,44,Same
1,45,Same
1,46,Same
1,47,Same
1,48,Restored
1,49,Restored
1,50,Restored
1,51,Restored
1,52,Restored
1,53,Restored
1,54,Restored
1,55,Restored
1,56,Restored
1,57,Restored
1,58,Restored
1,59,Restored
1,60,Restored
1,61,Restored
1,62,Restored
1,63,Restored
2,0,Same
2,1,Same
2,2,Restored
2,3,Restored
2,4,Restored
2,5,Restored
2,6,Restored
2,7,Restored
2,8,Restored
2,9,Restored
2,10,Restored
2,11,Restored
2,12,Restored
2,13,Restored
2,14,Restored
2,15,Restored
2,16,Restored
2,17,Restored
2,18,Restored
2,19,Restored
2,20,Restored
2,21,Restored
2,22,Restored
2,23,Restored
2,24,Restored
2,25,Restored
2,26,Restored
2,27,Restored
2,28,Restored
2,29,Restored
2,30,Restored
2,31,Restored
2,32,Same
2,33,Same
2,34,Same
2,35,Same
2,36,Same
2,37,Same
2,38,Restored
2,39,Restored
2,40,Restored
2,41,Same
2,42,Same
2,43,Same
2,44,Same
2,45,Same
2,46,Same
2,47,Same
2,48,Restored
2,49,Restored
2,50,Restored
2,51,Restored
2,52,Restored
2,53,Restored
2,54,Restored
2,55,Restored
2,56,Restored
2,57,Restored
2,58,Restored
2,59,Restored
2,60,Outage
2,61,Restored
2,62,Restored
2,63,Outage
3,0,Restored
3,1,Same
3,2,Restored
3,3,Restored
3,4,Restored
3,5,Restored
3,6,Restored
3,7,Restored
3,8,Restored
3,9,Restored
3,10,Restored
3,11,Restored
3,12,Restored
3,13,Restored
3,14,Restored
3,15,Restored
3,16,Restored
3,17,Restored
3,18,Restored
3,19,Restored
3,20,Restored
3,21,Outage
3,22,Outage
3,23,Restored
3,24,Restored
3,25,Restored
3,26,Restored
3,27,Restored
3,28,Restored
3,29,Restored
3,30,Restored
3,31,Restored
3,32,Same
3,33,Same
3,34,Same
3,35,Same
3,36,Same
3,37,Same
3,38,Restored
3,39,Restored
3,40,Restored
3,41,Same
3,42,Same
3,43,Same
3,44,Same
3,45,Restored
3,46,Restored
3,47,Same
3,48,Restored
3,49,Restored
3,50,Restored
3,51,Restored
3,52,Restored
3,53,Restored
3,54,Restored
3,55,Restored
3,56,Restored
3,57,Restored
3,58,Restored
3,59,Restored
3,60,Restored
3,61,Restored
3,62,Outage
3,63,Outage
4,0,Same
4,1,Same
4,2,Same
4,3,Restored
4,4,Restored
4,5,Restored
4,6,Restored
4,7,Restored
4,8,Restored
4,9,Restored
4,10,Restored
4,11,Restored
4,12,Restored
4,13,Restored
4,14,Restored
4,15,Restored
4,16,Outage
